                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.6695,                 3.2062,                 2.8064,                0.61851,                0.16667,                0.09597,                0.03182,                  2.534,                 2.9324,                 2.5518,              0.0015944,              0.0015944,              0.0015944
                     47,                 2.6972,                 3.2853,                 2.7995,                0.57154,                0.02778,                0.02309,                0.01122,                 2.5532,                  3.772,                 2.7634,              0.0015927,              0.0015927,              0.0015927
                     48,                 2.7232,                  3.455,                 2.8017,                0.72889,                0.16667,                0.13323,                0.05069,                 2.5462,                 6.5639,                 2.6446,              0.0015911,              0.0015911,              0.0015911
                     49,                 2.6218,                 3.4862,                 2.7889,                0.67927,                0.13889,                0.15512,                0.05894,                   2.55,                 3.2879,                 2.5833,              0.0015894,              0.0015894,              0.0015894
                     50,                 2.6316,                 3.3216,                 2.8008,                0.17844,                0.08333,                0.10371,                0.03311,                 2.5237,                  2.956,                 2.5666,              0.0015878,              0.0015878,              0.0015878
                     51,                 2.6439,                 3.2092,                  2.837,                0.58904,                0.11111,                0.09568,                0.03982,                 2.5421,                  3.467,                 2.5991,              0.0015861,              0.0015861,              0.0015861
                     52,                 2.5871,                 3.2016,                 2.7348,                      1,                0.07926,                0.14552,                0.05343,                 2.6783,                 2.9621,                 2.6677,              0.0015845,              0.0015845,              0.0015845
                     53,                 2.4835,                 3.1316,                 2.6547,                0.79248,                0.08333,                0.09879,                0.02392,                 2.5094,                 3.4064,                 2.6547,              0.0015828,              0.0015828,              0.0015828
                     54,                 2.5602,                 3.1032,                 2.7494,                0.60618,                0.11111,                0.14839,                 0.0518,                 2.5238,                 3.2557,                 2.6536,              0.0015812,              0.0015812,              0.0015812
                     55,                 2.5509,                 3.2154,                 2.8038,                0.61488,                0.02778,                0.13097,                0.04355,                  2.529,                 4.1774,                 2.9031,              0.0015795,              0.0015795,              0.0015795
                     56,                 2.6421,                 3.1177,                 2.7997,                0.23742,                0.10133,                0.16788,                0.04761,                 2.6949,                 3.4982,                 2.7714,              0.0015779,              0.0015779,              0.0015779
                     57,                 2.5232,                 3.0414,                 2.7603,                0.29445,                0.05057,                0.11783,                0.03789,                 2.7152,                 3.4459,                 2.8925,              0.0015762,              0.0015762,              0.0015762
                     58,                 2.4643,                 3.1549,                 2.7049,                0.62961,                0.08333,                 0.1145,                0.04715,                 2.4146,                 2.9663,                  2.512,              0.0015746,              0.0015746,              0.0015746
                     59,                 2.4831,                 3.0158,                 2.7271,                0.06577,                0.02778,                0.05638,                0.02663,                 2.6742,                  3.232,                 2.6511,              0.0015729,              0.0015729,              0.0015729
                     60,                 2.4983,                 2.9269,                 2.7099,                0.36416,                   0.25,                0.19283,                0.05503,                 2.7346,                 3.0761,                  2.742,              0.0015713,              0.0015713,              0.0015713
